nodeId1,portId1,nodeId2,portId2,bandwidth,delay
13,7,15,6,400Gbps,100ns
13,8,21,1,400Gbps,100ns
13,9,29,1,400Gbps,100ns
13,10,37,1,400Gbps,100ns
13,11,45,1,400Gbps,100ns
13,12,53,1,400Gbps,100ns
13,13,61,1,400Gbps,100ns
13,14,261,1,400Gbps,100ns
14,7,15,7,400Gbps,100ns
14,8,22,1,400Gbps,100ns
14,9,30,1,400Gbps,100ns
14,10,38,1,400Gbps,100ns
14,11,46,1,400Gbps,100ns
14,12,54,1,400Gbps,100ns
14,13,62,1,400Gbps,100ns
14,14,262,1,400Gbps,100ns
15,8,23,1,400Gbps,100ns
15,9,31,1,400Gbps,100ns
15,10,39,1,400Gbps,100ns
15,11,47,1,400Gbps,100ns
15,12,55,1,400Gbps,100ns
15,13,63,1,400Gbps,100ns
15,14,263,1,400Gbps,100ns
16,2,17,2,400Gbps,100ns
16,3,18,2,400Gbps,100ns
16,4,19,2,400Gbps,100ns
16,5,20,2,400Gbps,100ns
16,6,21,2,400Gbps,100ns
16,7,22,2,400Gbps,100ns
16,8,23,2,400Gbps,100ns
16,9,24,2,400Gbps,100ns
16,10,32,2,400Gbps,100ns
16,11,40,2,400Gbps,100ns
16,12,48,2,400Gbps,100ns
16,13,56,2,400Gbps,100ns
16,14,256,2,400Gbps,100ns
17,3,18,3,400Gbps,100ns
17,4,19,3,400Gbps,100ns
17,5,20,3,400Gbps,100ns
17,6,21,3,400Gbps,100ns
17,7,22,3,400Gbps,100ns
17,8,23,3,400Gbps,100ns
17,9,25,2,400Gbps,100ns
17,10,33,2,400Gbps,100ns
17,11,41,2,400Gbps,100ns
17,12,49,2,400Gbps,100ns
17,13,57,2,400Gbps,100ns
17,14,257,2,400Gbps,100ns
18,4,19,4,400Gbps,100ns
18,5,20,4,400Gbps,100ns
18,6,21,4,400Gbps,100ns
18,7,22,4,400Gbps,100ns
18,8,23,4,400Gbps,100ns
18,9,26,2,400Gbps,100ns
18,10,34,2,400Gbps,100ns
18,11,42,2,400Gbps,100ns
18,12,50,2,400Gbps,100ns
18,13,58,2,400Gbps,100ns
18,14,258,2,400Gbps,100ns
19,5,20,5,400Gbps,100ns
19,6,21,5,400Gbps,100ns
19,7,22,5,400Gbps,100ns
19,8,23,5,400Gbps,100ns
19,9,27,2,400Gbps,100ns
19,10,35,2,400Gbps,100ns
19,11,43,2,400Gbps,100ns
19,12,51,2,400Gbps,100ns
19,13,59,2,400Gbps,100ns
19,14,259,2,400Gbps,100ns
20,6,21,6,400Gbps,100ns
20,7,22,6,400Gbps,100ns
20,8,23,6,400Gbps,100ns
20,9,28,2,400Gbps,100ns
20,10,36,2,400Gbps,100ns
20,11,44,2,400Gbps,100ns
20,12,52,2,400Gbps,100ns
20,13,60,2,400Gbps,100ns
20,14,260,2,400Gbps,100ns
21,7,22,7,400Gbps,100ns
21,8,23,7,400Gbps,100ns
21,9,29,2,400Gbps,100ns
21,10,37,2,400Gbps,100ns
21,11,45,2,400Gbps,100ns
21,12,53,2,400Gbps,100ns
21,13,61,2,400Gbps,100ns
21,14,261,2,400Gbps,100ns
22,8,23,8,400Gbps,100ns
22,9,30,2,400Gbps,100ns
22,10,38,2,400Gbps,100ns
22,11,46,2,400Gbps,100ns
22,12,54,2,400Gbps,100ns
22,13,62,2,400Gbps,100ns
22,14,262,2,400Gbps,100ns
23,9,31,2,400Gbps,100ns
23,10,39,2,400Gbps,100ns
23,11,47,2,400Gbps,100ns
23,12,55,2,400Gbps,100ns
23,13,63,2,400Gbps,100ns
23,14,263,2,400Gbps,100ns
24,3,25,3,400Gbps,100ns
24,4,26,3,400Gbps,100ns
24,5,27,3,400Gbps,100ns
24,6,28,3,400Gbps,100ns
24,7,29,3,400Gbps,100ns
24,8,30,3,400Gbps,100ns
24,9,31,3,400Gbps,100ns
24,10,32,3,400Gbps,100ns
24,11,40,3,400Gbps,100ns
24,12,48,3,400Gbps,100ns
24,13,56,3,400Gbps,100ns
24,14,256,3,400Gbps,100ns
25,4,26,4,400Gbps,100ns
25,5,27,4,400Gbps,100ns
25,6,28,4,400Gbps,100ns
25,7,29,4,400Gbps,100ns
25,8,30,4,400Gbps,100ns
25,9,31,4,400Gbps,100ns
25,10,33,3,400Gbps,100ns
25,11,41,3,400Gbps,100ns
25,12,49,3,400Gbps,100ns
25,13,57,3,400Gbps,100ns
25,14,257,3,400Gbps,100ns
26,5,27,5,400Gbps,100ns
26,6,28,5,400Gbps,100ns
26,7,29,5,400Gbps,100ns
26,8,30,5,400Gbps,100ns
26,9,31,5,400Gbps,100ns
26,10,34,3,400Gbps,100ns
26,11,42,3,400Gbps,100ns
26,12,50,3,400Gbps,100ns
26,13,58,3,400Gbps,100ns
26,14,258,3,400Gbps,100ns
27,6,28,6,400Gbps,100ns
27,7,29,6,400Gbps,100ns
27,8,30,6,400Gbps,100ns
